name,age,salary
1.23,120,1000001
TRUE,120,0
Që1,120,-18
"   ",120,1.8
" Arina",120,TRUE
"Arina ",120,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
Që,120,null
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,1000000
1.23,18,1 8
TRUE,18,1000001
"Arina ",20,20
Që,20,"  "
1.23,20,18 
TRUE,20,1 8
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",20,1000001
Që1,20,0
"   ",20,18
" Arina",20,-18
"Arina ",20,1.8
Që,20,TRUE
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",20,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",20,null
"   ",20,1000000
" Arina",20,1
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹","  ","  "
1.23,"  ", 18
TRUE,"  ",18 
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹","  ",1 8
Që1,"  ",1000001
"   ","  ",0
"Arina ","  ",-18
Që,"  ",1.8
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹","  ",TRUE
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹","  ","QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
Që1,"  ",null
" Arina","  ",1000000
"Arina ","  ",1
Që,"  ",20
TRUE, 18, 18
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹", 18,TRUE
1.23, 18,"  "
Që1,18 ,18 
"   ",18 ,1 8
" Arina",18 ,1000001
"Arina ",18 ,0
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",18 ,-18
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",18 ,1.8
Që1,18 ,TRUE
